task_id,cve_id,cwe_id,language,dynamic_oracle_source,primary_security_endpoint,secondary_deployment_endpoint,executable_anchor_present,parent_fails_upstream_passes,admission_prerequisite_status,qgdca_behavioral_policy
LLMCEC-0034,CVE-2021-39212,CWE-668,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0035,CVE-2021-44618,CWE-94,PHP,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0047,CVE-2022-1064,CWE-89,PHP,quality_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,False,False,validation_debt_unanchored,abstain_or_escalate
LLMCEC-0051,CVE-2022-1238,CWE-787,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0056,CVE-2023-30625,CWE-89,Go,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0063,CVE-2021-30219,CWE-476,C,quality_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,False,False,validation_debt_unanchored,abstain_or_escalate
LLMCEC-0065,CVE-2022-0326,CWE-476,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0066,CVE-2022-36044,CWE-787,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0067,CVE-2023-48217,CWE-434,PHP,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0068,CVE-2023-51449,CWE-22,Python,quality_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,False,False,validation_debt_unanchored,abstain_or_escalate
LLMCEC-0070,CVE-2022-32546,CWE-190,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0072,CVE-2022-0631,CWE-122,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0074,CVE-2021-39207,CWE-502,Python,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0076,CVE-2022-1382,CWE-476,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0088,CVE-2020-26570,CWE-787,C,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0093,CVE-2023-2228,CWE-352,Python,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0104,CVE-2023-30625,CWE-89,Go,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0106,CVE-2023-4697,CWE-269,Go,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0119,CVE-2023-5289,CWE-770,Python,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0123,CVE-2021-23389,CWE-94,JavaScript,quality_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0128,CVE-2021-43800,CWE-22,JavaScript,heldout_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,False,False,validation_debt_unanchored,abstain_or_escalate
LLMCEC-0134,CVE-2023-37897,CWE-393,PHP,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0165,CVE-2022-29237,CWE-287,Java,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0186,CVE-2023-29017,CWE-913,JavaScript,heldout_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0189,CVE-2022-1728,CWE-190,JavaScript,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0194,CVE-2022-0766,CWE-918,Python,heldout_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,False,False,validation_debt_unanchored,abstain_or_escalate
LLMCEC-0212,CVE-2021-23418,CWE-611,Python,experiment_lv_validated,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0215,CVE-2022-33146,CWE-601,Python,heldout_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,True,True,executable_calibrated,behavior_anchored_prerequisite_admit
LLMCEC-0217,CVE-2022-31142,CWE-203,JavaScript,heldout_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,False,False,validation_debt_unanchored,abstain_or_escalate
LLMCEC-0235,CVE-2022-21670,CWE-1333,JavaScript,quality_dynamic,repo_apply_and_static_and_dynamic,repo_apply_and_static_and_dynamic_and_native_pass,False,False,validation_debt_unanchored,abstain_or_escalate
