task_id,parent_executed,upstream_executed,parent_safe,upstream_safe,parent_fails_upstream_passes,qgdca_executable_oracle_anchor,parent_seconds,upstream_seconds
LLMCEC-0034,True,True,False,True,True,True,0.0006,0.0007
LLMCEC-0035,True,True,False,True,True,True,0.0088,0.0128
LLMCEC-0051,True,True,False,True,True,True,0.0258,0.0006
LLMCEC-0056,True,True,False,True,True,True,0.3852,0.2336
LLMCEC-0065,True,True,False,True,True,True,0.0006,0.0007
LLMCEC-0066,True,True,False,True,True,True,0.0113,0.0006
LLMCEC-0067,True,True,False,True,True,True,0.0091,0.0114
LLMCEC-0070,True,True,False,True,True,True,0.0016,0.0011
LLMCEC-0072,True,True,False,True,True,True,0.0194,0.0007
LLMCEC-0074,True,True,False,True,True,True,0.0004,0.0004
LLMCEC-0076,True,True,False,True,True,True,0.0244,0.0006
LLMCEC-0088,True,True,False,True,True,True,0.0006,0.0007
LLMCEC-0093,True,True,False,True,True,True,0.0026,0.0048
LLMCEC-0104,True,True,False,True,True,True,0.2702,0.2933
LLMCEC-0106,True,True,False,True,True,True,0.5676,0.3988
LLMCEC-0119,True,True,False,True,True,True,0.0029,0.0032
LLMCEC-0123,True,True,False,True,True,True,0.0682,0.0732
LLMCEC-0134,True,True,False,True,True,True,0.0145,0.0133
LLMCEC-0165,True,True,False,True,True,True,0.0679,0.0652
LLMCEC-0186,True,True,False,True,True,True,1.5655,1.7059
LLMCEC-0189,True,True,False,True,True,True,0.0652,0.066
LLMCEC-0212,True,True,False,True,True,True,0.0554,0.059
LLMCEC-0215,True,True,False,True,True,True,0.0,0.0
